pdb,weight,seq_len
1WOL_A,29.8089718038043,122
1IOM_A,64.3035947673223,377
3K29_A,39.71289463134109,169
2HS5_A,67.05725165856411,239
1ELW_A,62.64148146396285,118
2EUC_A,2.9698484809834995,130
6ET6_A,28.270762281905313,196
3L39_A,66.36924890338899,227
2E8V_A,168.89854943130803,340
2OLM_A,23.9030270049632,140
2CXY_A,21.882355906071908,125
3CS5_A,11.029560281353016,59
1YIS_A,83.01867259839801,478
2HXI_A,125.9903682826588,241
2Q12_A,56.06486421993724,265
1X3K_A,41.26457075991461,152
2QFA_A,43.6480469207959,142
2ZHJ_A,65.9246160398375,322
2FI0_A,16.40082619870109,81
1HH8_A,54.87976676335277,213
2XBK_A,69.28537652347715,404
1KW4_A,19.8950848201258,89
1B0N_A,41.6263618395843,111
1W2L_A,28.807530265539945,99
2SQC_A,134.77550667684392,631
3AEI_A,37.411527635208905,99
2HH7_A,14.648634748671974,119
1XOU_A,6.08,192
1SD4_A,92.4927326874928,126
3G4D_A,116.75835558965362,554
1KLX_A,31.501633290989847,138
3KV0_A,20.641569707752364,209
1Q5D_A,86.934728388602,419
1U2W_A,104.18187942247924,122
3HRA_A,49.39050111104361,201
1HYP_A,3.092329219213245,80
2IM8_A,19.770705601975862,131
2RAE_A,57.75977839292669,207
1WU4_A,51.006799546727095,396
5I32_A,55.4085264196766,275
2NQ2_A,374.09393980656785,337
1ALU_A,10.99,186
3LWJ_A,59.11412690719537,202
3BDD_A,190.00999657912735,142
4WRI_A,52.761190282251974,192
2DQL_A,81.67429216099764,115
1W2Y_A,52.38093641774649,229
3B9W_A,54.540799407416095,407
1Z91_A,44.569837334233114,147
1X46_A,40.08116764766216,150
1O5H_A,57.393909084501296,214
5NOA_A,73.32159572731625,381
3BS3_A,25.334782414696207,76
1ITH_A,79.2113855452611,141
2PVB_A,6.052834046956847,108
2EWT_A,21.906693041168943,71
2GS4_A,39.92136270219242,166
1FPO_A,105.14582445347033,171
2GMY_A,262.8,153
2P0T_A,15.557017709059794,176
3AQ9_A,61.466771511118104,121
3F52_A,45.797188778351895,117
2OFY_A,74.97928247189353,86
2OF7_A,68.02367235014587,260
1S3J_A,84.43707716400421,155
1XQO_A,12.39441809848288,256
3AGT_A,70.17561969801193,136
1VMG_A,16.3560386402087,95
1E29_A,43.32637764687927,135
1TJ7_A,193.0439183191224,457
1Q5N_A,103.61942771507668,454
2IXO_A,54.31702955795724,323
3K21_A,48.60253697082077,191
1S1F_A,77.89702497528387,406
2XGV_A,4.411110971172682,142
3NUF_A,52.53531669267827,119
2YSK_A,20.717992180710947,145
2P0N_A,98.83734618047978,172
3KP7_A,99.34248033948012,151
2ICT_A,30.58799764613565,94
2PPX_A,17.742508278143763,99
2FBQ_A,87.82214982565618,235
1EVS_A,9.914902924386098,187
2YZV_A,45.938402236037774,303
3ERM_A,14.446480540256164,91
2X48_A,61.984849761857134,55
1Y9B_A,31.615886829250893,90
3AAI_A,52.628534085607974,94
1AH7_A,19.291319291328936,245
3AWM_A,84.88658021147984,415
3CN5_A,60.51626888696955,304
3F6O_A,58.97329565150654,118
3C02_A,62.64014687083676,258
2END_A,6.2781287020895,138
2G7S_A,57.24155221515223,194
6SP9_A,114.41740427050424,361
2V4X_A,8.15867636323442,140
2QTI_A,2.517439175034821,80
2ZQM_A,25.770052386442675,117
1ZBP_A,94.28568555194366,273
3CRA_A,64.7044333875199,265
1Y02_A,12.377338162949254,120
2PJQ_A,198.65361813971572,231
2GFN_A,127.27909333429432,209
2W53_A,119.23584821688485,219
1OTK_A,55.64056074483793,249
3CTW_B,15.853466497898811,169
6EKZ_A,43.724278152989555,328
1ZP2_A,62.75846556441609,235
2UY1_A,269.00884074691675,493
1OR4_A,92.54735490547527,178
1CY5_A,19.923895201491096,97
3FAJ_A,1.7493713156445658,151
2RKK_A,30.443429504574546,168
1Y9I_A,43.786244415341216,178
2D48_A,3.87,129
2VZ4_A,34.77705277909559,108
1CXC_A,40.14230685947184,124
3ZOJ_A,61.444446453686936,279
1SDI_A,19.2879703442327,213
3HLX_A,140.6894054291225,258
2FBN_A,91.35187354400564,198
1H12_A,61.26963358793653,405
2QWT_A,63.54783395207109,196
2VB1_A,29.726034044251513,129
3LMF_A,12.902092853486987,121
1ZTD_A,7.0710678118654755,133
2AH6_A,73.57751830552591,208
6B8F_A,47.07272671090979,182
1T8K_A,31.296498206668424,77
2JEK_A,10.934349546269315,145
1XWM_A,65.44587993143648,217
2CE0_A,27.89622555113864,105
3H0N_A,31.88897615164212,188
1WMW_A,373.78710892699337,330
4BPF_A,37.35167332262371,86
6ENI_A,28.808661891868564,116
2CA5_A,8.869656137641414,85
3GRL_A,139.27129531960273,651
1JFB_A,79.09866813038005,404
3DSS_B,150.9783560647022,331
2II2_A,56.71046464278,310
2FXA_A,227.47127467001192,207
1TJO_A,225.26928885225345,182
1WA5_C,414.4895014351992,960
2EGD_A,63.32544512279405,98
3FRQ_A,107.26418088066492,195
1LRV_A,23.065823202305182,244
1B0B_A,36.66,142
2APL_A,7.495558684981393,157
2VQC_A,1.1777945491468365,118
2G7L_A,66.44072847282757,243
3K69_A,47.36047085914581,162
3LPZ_A,25.563254878829493,336
1X2I_A,38.61058922109322,75
2VZB_A,206.64858286472713,170
6F6M_A,94.02813196059996,316
2D1H_A,61.34818660726656,109
2JG6_A,23.006929390946546,186
1C1K_A,9.458810707483265,217
2MHR_A,11.740851757858117,118
3O2T_A,20.165078725360832,386
1S29_A,14.919118606673788,92
3CP5_A,34.469766462800415,124
2JJN_A,74.33977132060603,411
1Z0P_A,0.73,84
4J20_A,48.23170741327742,88
2CHP_A,174.81616773056206,153
3D5L_A,125.84590577368816,221
1K7W_A,405.36807348384013,468
2NRJ_A,31.748404684330197,346
2ZBL_A,618.7233317889346,421
1T72_A,359.19317588172527,227
1OAH_A,62.02068848376322,519
1QLS_A,40.46090953006371,99
2RJI_A,4.61033621333629,84
2FU2_A,7.890152089788891,102
2P57_A,18.68248377491601,144
3L7W_A,32.5225660119247,108
1FP3_A,240.9318509454489,402
2BYK_A,65.29767147456332,140
2RKH_A,57.79220968262072,180
3BB0_A,73.63592873047776,609
2O8P_A,22.95571824186732,227
2SAS_A,48.91142504568845,185
1B5L_A,12.441736213246124,172
3ISM_C,15.56,359
1XIO_A,30.38,261
2GUH_A,105.74409345206946,214
3JSZ_A,8.798818102449896,525
2ABK_A,58.16868573382074,211
2G7G_A,75.41087189523802,213
2GPE_A,60.36364634446796,52
2GGZ_A,82.96071359384514,211
3S0A_A,31.326622862989876,119
3FIW_A,184.04868377687464,211
1QQE_A,93.746249524981,292
3DXR_A,21.632124259998136,89
2O4D_A,41.36520276754364,165
6F8A_A,160.33428080108132,400
1XD7_A,39.38879028353118,145
2VXZ_A,29.58462438497403,165
2P2W_A,54.68652484844873,367
1L0O_C,121.4263739885203,243
3F1B_A,55.40920140193323,203
2ZS0_C,152.7314663060628,147
1TU9_A,30.158464815039903,134
3CDH_A,93.63610414791935,155
2IEQ_A,7.95,109
2OU6_A,55.74190524192728,190
3NZL_A,10.523307464861036,83
3M8J_A,16.69788010497141,111
2BL2_A,173.01236949998693,156
3DEW_A,62.46318915969629,206
3CDL_A,135.09931532024876,203
3LSN_A,77.36070514156395,304
4I6R_A,46.01998261625051,82
3AYF_A,111.071135764428,800
2WVQ_A,56.545991900399095,225
3ETV_A,14.435113439110896,355
2IB0_A,34.85430676401411,170
4PKL_A,68.69594747872686,119
1KA2_A,92.84726221057892,499
1F1E_A,6.736386271585085,154
3HC1_A,101.6793391009206,305
2WTG_A,44.126998538309856,159
1SED_A,24.31556703019693,117
2NS0_A,6.321091677867044,85
1WTY_A,122.68136574068616,119
2ZBX_A,73.35525748029244,412
2XYK_A,66.78986824361911,133
5Z0D_A,48.15878736014851,281
1WY6_A,3.18,172
3A4G_A,73.04830593518237,411
1XSV_A,78.46315823365767,113
2GZ4_A,130.93379777582257,207
1WZD_A,100.09966233709284,215
2O6K_A,13.244878255386118,81
2IXN_A,50.05626833874056,310
2RKN_A,13.557248983477436,77
2W7N_A,69.67412647461036,101
2FQ4_A,64.05,192
2ESH_A,40.3355525560268,118
1SCH_A,21.926112286495297,294
3G9G_A,21.213203435596423,287
2Q4X_A,764.0143579802674,221
2O7T_A,54.44057769715528,199
2HPS_A,45.31918026619635,186
2QQY_A,33.46212336358827,149
2BV6_A,46.726384409667304,142
4EIC_A,27.666523091996943,93
2QIB_A,147.22966514938489,231
1I8O_A,7.323236989200882,114
1B9O_A,14.23827939043198,123
1W53_A,5.939696961966999,84
3BRU_A,125.66622617075758,222
3KAE_A,202.1159677017133,242
1Q1H_A,27.46434051638597,110
4EIE_A,20.74454145070457,87
2FD5_A,66.32668618286307,180
3HIU_A,133.10376253134245,166
3GIA_A,165.22226968541497,444
2DG7_A,59.68938347813621,195
2EH3_A,51.39513595662532,179
3IDW_A,10.031131541356638,72
3AJW_A,34.3453752345203,150
1YAR_O,342.252843377524,237
1VYK_A,9.4795253045709,149
1AU1_A,25.905485905498857,166
3O2R_A,147.0157324914582,170
2VYW_A,41.17486612000093,148
5L87_A,6.2,69
3ETZ_A,8.404373861270095,119
1S7Z_A,3.1622776601683795,117
2R9I_A,0.67,141
2OFK_A,48.00825449857555,183
2VS0_A,52.862977593018734,97
1CPQ_A,23.681252078384706,129
3FHG_A,61.161406949153815,207
1NIG_A,2.92,152
1OKC_A,103.19628675490218,297
