pdb,weight,seq_len
2WNX_A,16.46629891627138,170
2FJ8_A,5.091168824543142,125
4B9G_A,2.92,161
1YLL_A,123.4853837504666,200
1IS3_A,27.06667323481037,135
3NBC_A,82.93284029864164,148
2FSD_A,6.6,142
2HF1_A,18.045365055880698,68
1WHI_A,11.114728966556044,122
2WV3_A,59.39133943598174,190
3DWA_A,18.24634209917155,126
6RS9_A,27.42537875763979,221
1X6O_A,25.500552935181616,174
2ECU_A,64.53609532656898,149
2POE_A,35.969837364102716,185
2YF0_A,54.88211275087721,512
1C3M_A,30.929557061167237,147
2VDF_A,21.581241854907233,253
1PBY_A,36.16,489
2E9Q_A,54.037325063330066,459
1KXO_A,39.737262110014576,184
2BRF_A,28.61817604250837,110
3BKP_A,42.51014467159575,232
1LJO_A,16.109695838221157,77
3A7L_A,26.696516626706188,128
1IAM_A,35.15,185
3NED_A,10.934495873153,242
5GM9_A,8.52,213
1QJP_A,35.195937265542454,171
3FSA_A,34.74323531279147,125
2P2E_A,16.4017438097295,128
1KMO_A,138.81,774
2AZQ_A,31.51194059400341,311
1P4T_A,33.78146681244022,155
1NUI_A,107.01574416879042,255
1QRE_A,35.8360349369179,247
1NL1_A,20.686546352641855,147
1VZI_A,26.100766272276378,126
1PV5_A,24.756857635814768,264
2ZWS_A,96.78243642314446,646
2J6A_A,11.856205126430634,141
1L6P_A,15.636646059817304,125
2DBN_A,40.900033007321646,461
2AHN_A,25.794069085741395,222
1GWE_A,66.06716582387956,503
1XWV_A,47.432722881993605,129
3DSO_A,1.8667619023324855,74
3AMR_A,37.7477946375679,355
1SZB_A,98.16442380007128,170
3CP3_A,29.999969999985,148
4HCS_A,11.35051981188527,81
3IBZ_A,31.206970375222262,191
3C2U_A,375.92146866067645,538
3EJK_A,40.38932408446568,174
1ZUU_A,16.51762694820294,58
1EUW_A,28.835394916664487,152
2NVN_A,5.143500753377996,122
1W0N_A,3.97994974842648,131
2W39_A,59.8972587018805,298
4QQH_A,30.873289426298584,137
1PZ7_A,114.3596301148268,204
2YFU_A,33.6,155
4B9P_A,18.853975708056907,166
1HTR_B,73.18101393121033,329
1FJR_A,36.4545525277708,195
2OL5_A,114.81382756445322,202
4IZX_A,36.959365524857155,140
2NYS_A,12.278175760266668,176
3BN6_A,47.89772019626821,158
2EJ8_A,45.57346596430866,160
2P12_A,30.66043867918396,176
4QB6_A,37.72009411441069,164
3DM3_A,85.56359739982885,105
2X2S_A,182.9921572089908,153
2ID0_A,510.6632549929553,644
3GNE_A,48.25689069967107,252
1G1C_A,45.41959048692535,99
4UNU_A,89.91013513503358,111
3E9F_A,12.639473881455666,121
4BFO_A,12.586802612260191,106
3HCJ_A,27.709478522700497,154
3CP0_A,18.517148808604414,82
2FCT_A,177.9616360342869,313
2QNG_A,28.536972509360552,199
3EFM_A,109.57943602702106,707
2QNK_A,33.941814919064065,286
2RDY_A,229.67237796478705,803
1OLL_A,45.509981322782366,188
3IXC_A,42.51674493655411,191
1QWR_A,85.19396868323486,319
3ES1_A,21.16601048851672,172
3TEU_A,33.792241713150666,98
2A2J_A,78.12988160748742,246
2VOV_A,4.087077195258245,336
1IFC_A,20.20969569290938,132
4MAI_A,22.6725450710766,216
4Q29_A,1375.904429820618,128
1CUO_A,37.49885998267147,129
2BT9_A,13.031285431606507,90
1IAR_B,96.93152995800696,207
2MCM_A,6.433910164122592,112
2WFI_A,38.61723708397585,179
4IAU_A,10.1169362951439,163
1KZL_A,23.916521486202797,208
3DCD_A,113.9922523683079,307
2HAL_A,53.26053698565195,212
3AJ6_A,118.52876992528016,286
2RDE_A,129.19970123804467,251
1UMZ_A,0.0,278
1YFQ_A,121.39795714920412,342
2D2A_A,49.35904476385255,145
1AOC_A,3.5,175
1Y71_A,9.944189258054172,130
1SFP_A,20.34663608560393,114
3BT4_A,4.2,86
1DCS_A,58.12313997023905,311
1KZQ_A,23.733503744706553,289
1B8K_A,4.846648326421054,119
1WUB_A,51.2821840408538,178
1DDW_A,16.056702650295296,120
1PKH_A,56.671993083003535,204
2CWP_A,18.113287940073164,112
3M7O_A,102.4971219108127,162
2ET1_A,32.47254378702105,201
1JLY_A,0.0,304
1UAI_A,16.836130790653772,224
2POR_A,29.49185650310946,301
3BWZ_A,27.36,181
3D89_A,38.11210437643138,157
3H96_A,100.5066943044094,143
2OPW_A,86.2753498978706,291
1LMI_A,5.710157616038283,131
2FHQ_A,66.49099863891352,141
3ZN4_A,4.26,173
2JKS_A,21.6287956206535,315
3A35_A,44.16,190
2XRB_A,74.70364114285194,290
5KWM_A,51.73124007792583,230
1O8V_A,8.65581885207864,134
2JEN_A,23.64691734666487,261
1ZK5_A,3.44,176
1SQ4_A,65.24011266084693,278
6D4K_A,26.18,261
2ISM_A,163.00797526501577,352
3HQX_A,23.13853927973847,111
2D37_A,42.249940828360934,176
3KNB_B,57.22177907056019,107
2JLP_A,123.7234415945499,222
2RCF_A,31.810991811007717,91
1SEF_A,34.1411599099972,274
2HYK_A,56.68215592230062,245
6C74_A,35.346136988361266,111
2HRV_A,6.216268977449415,142
1Q25_A,58.52811973743903,432
2D40_A,181.0516155685997,354
1BB9_A,20.70014009614428,115
1TG0_A,20.116470863449184,68
2BJ0_A,280.91855581289036,203
4I3B_A,126.81261530305255,139
1SQJ_A,293.5999323910004,789
3II2_A,2.121320343559643,157
1XQ4_A,55.356300454419824,139
4QQS_A,163.93596310755,315
2ERV_A,40.477391220284936,150
1YGA_A,167.4615370764284,342
3CB0_A,201.27695148724808,173
2JJU_A,87.3532775572846,127
1IBY_A,109.91988355161226,112
1FHG_A,29.4289806143536,154
2CBP_A,15.715877321995103,96
2YXM_A,28.594097292972897,100
4NOV_A,79.06833500207273,345
1EZG_A,1.64,84
1NNX_A,15.024609811905265,109
1V70_A,35.6845554827295,105
1KT6_A,43.85487430149584,183
1DYN_A,6.78,125
1DUN_A,24.497816229207046,134
4I4O_A,52.641048621774246,146
2DPF_A,69.07019038630196,115
1I8D_A,73.70340562009329,213
2JDA_A,76.4402642590932,145
2H62_C,33.032929025443686,129
3F7E_A,69.05613658466567,131
4L05_A,28.479592693716672,154
1I4U_A,81.76470693398223,181
1H4G_A,0.0,207
4WDC_A,10.012632021601512,179
1TVD_A,96.94158240920147,116
2QPW_A,35.547186949180656,149
1QJ8_A,33.87874850108841,148
1W0P_A,32.82250904486128,781
4YMY_A,12.143998517786471,174
2ZF9_A,25.70758059405824,194
2Z2N_A,74.63813167543785,299
1Q67_A,26.58697989618227,231
