pdb,weight,seq_len
2VQX_A,39.8292003434666,341
3HX3_A,74.95558684981394,316
3FX3_A,198.95952704004904,237
1DQ3_A,63.09559889564406,454
3IG5_A,80.7990996236963,692
3EIN_A,54.72791883490546,209
2CKW_A,68.87220048756973,515
1GPJ_A,54.71595379777273,404
3G0O_A,77.74510852780386,303
1NHY_A,56.43494041814876,219
1VHO_A,46.84555048240974,346
2P11_A,107.14180696628183,231
2QGH_A,100.52792447872382,425
1B25_A,246.8319006935692,619
1EU1_A,167.99691544787362,780
3L00_A,37.95643818906089,182
2QYZ_A,12.636340451254071,139
2CND_A,78.73322043457894,270
2PN5_A,169.23932344464157,1325
2BCO_A,90.63196621501709,350
4EA9_A,52.08014688919378,220
1FVI_A,37.05416575771204,297
1NXU_A,105.68506280454208,333
2YXL_A,91.32678960743118,450
5WL1_A,64.8134985940429,300
1WXQ_A,39.58853621946636,397
1GVH_A,112.42495096730084,396
2R31_A,27.101522097476373,239
1YQ2_A,718.9372156176088,1024
3I47_A,91.42369824066408,268
3D2Y_A,44.066320472669375,261
2RH0_A,141.16826838918155,157
1RP0_A,146.88,284
1KQF_A,197.14017753872497,1015
2VSY_A,219.618967304739,568
3HIN_A,180.0385483722861,275
3DF7_A,42.31598634086177,305
2W43_A,100.00911058498622,201
1WX1_A,85.29079668991257,335
2Z0Q_A,95.22029773110351,352
3I83_A,166.62611169921718,320
1LNS_A,100.35698132167984,763
1X54_A,67.93174515644361,434
1U3D_A,91.12322700607128,509
1ULV_A,103.91801768702096,1020
1NJG_A,118.88467352859242,250
1G3P_A,0.0,217
2HU9_A,16.983765777942182,130
5Z37_A,32.26259753956584,265
2QLZ_A,178.09366524388227,232
3CO8_A,155.4454852995094,380
2P38_A,36.67969465521762,166
3HHT_B,30.49389938987797,229
3B34_A,107.81613051858244,891
2DBB_A,104.19386546241576,151
4KQI_A,41.779899473311325,356
3HUR_A,90.70857070861608,395
5LXX_A,237.86849455108592,501
2XMO_A,222.67035815303305,443
1VJ7_A,85.80109090215579,393
1YG2_A,52.77023308646646,179
3C4Z_A,15.59002886463011,543
2QCU_A,294.44863728670913,501
3KSV_A,44.98761829659357,149
3GZ5_A,117.44590244022989,240
1WG8_A,81.10282917383338,285
1W6K_A,82.9800427813821,732
2GAU_A,98.84803690514042,232
1WTJ_A,111.74503076199856,343
2DBY_A,55.36588660899417,368
2OOD_A,123.14603160475777,475
1TU7_A,101.3879992898568,208
1LNZ_A,118.37895083164068,342
2QI2_A,34.882660448996724,347
1UDX_A,62.618578712711134,416
1A6Z_A,129.79698917925637,275
1KV9_A,98.03842511994976,668
1KB0_A,94.61088732276006,677
1YVU_A,45.34745858369573,706
3LYP_A,93.76268074239346,215
1LKO_A,58.00448258540024,191
2Q1Z_B,147.41712790581698,195
3M4A_A,29.15865566174133,346
1XAH_A,169.9055305162254,354
3KY7_A,21.509476981089055,269
1SWV_A,178.57339443489334,267
2I76_A,157.3275656075565,276
3DUZ_A,10.92695291469676,487
2VGN_A,121.9004593920794,386
1KGS_A,79.34273375678457,225
1Q79_A,83.14698611495189,514
1FT9_A,179.74858886789625,222
2FQ1_A,157.53003142258302,287
3DNH_A,90.84716010971393,258
2WAA_A,82.33097837387821,347
2IA0_A,99.64950576897007,171
1WMD_A,123.9751975195039,434
3IBY_A,271.3592452819693,256
3DOA_A,32.0306415795875,288
1FP2_A,84.57576012073436,352
1M15_A,44.32164256883989,357
3KW2_A,80.1759939133903,257
1JSD_A,13.491597385039327,319
2IP2_A,153.5120842148917,334
1MXG_A,43.28195351413797,435
1IXC_A,212.146289149728,294
1KWG_A,87.35641018265345,645
