pdb,weight,seq_len
5ZU6_A,42.315009157508165,171
6CNW_A,47.20501668255187,116
5LP9_A,43.70080090799252,162
6A8K_A,23.53050785682281,257
5MY7_A,16.13489696279465,124
1JQN_A,86.07901718769796,883
5TZP_A,17.30664612222715,148
6FG8_B,111.6454804280048,241
6G8U_A,12.39,443
3DNX_A,20.32411867707921,153
5MSZ_A,21.714281015037088,201
2OWL_A,66.15512376226047,303
2PNE_A,0.81,81
6QPK_A,2.2061731573020285,80
1COJ_A,29.464546492352465,212
3QNS_A,28.67278326218088,353
6A56_A,0.0,164
3I4Z_A,110.34054785073346,465
2BJR_A,21.18,368
6GCV_A,80.07808689023483,146
2W3Y_A,16.696826045689043,283
5N41_A,1.98997487421324,76
5ZDM_A,22.748468080290596,211
1S21_A,4.365489663256575,206
6T2T_A,62.04167470337982,238
5XTU_A,85.97104628885238,360
3FYR_A,7.784156987111706,48
6FI2_A,55.49493220105778,408
6RZY_A,45.902069670114,70
1W7J_A,172.58076312266093,795
5JDK_A,1.03,137
5UJC_A,15.568641559236951,270
1Q8H_A,1.094486180817282,49
4NLM_A,74.80057686943331,363
4M91_A,43.223441556636836,161
5JXM_A,25.671525081303603,405
2QWU_A,3.98,211
2NLZ_A,361.1447792783388,547
2IVF_A,312.06856538267357,976
3X0T_A,7.482459488697549,119
3CL5_A,7.16,377
5OPZ_A,41.379888835036766,137
2QSK_A,0.95,95
2AXO_A,30.470549716078313,270
4WCK_A,27.85964823898536,439
3HGU_A,273.3448814227184,369
4RU3_A,26.8543758073056,221
6SID_A,6.793842800654134,90
5NQO_A,15.837954413370436,133
3IAB_A,22.167719774482897,158
2X5Q_A,5.133595231414335,198
2D7U_A,12.84,339
5Z3E_A,56.38711820974716,405
4P40_A,25.491174943497604,425
6CBN_A,208.87049767738856,438
4A9V_A,46.48,592
5ONK_A,18.949279669686657,214
2AYU_A,31.13,417
2XTP_A,72.22301849133696,260
2ZFN_A,21.66,460
5OJ5_A,85.67039161810806,347
6V7G_A,50.219980087610544,445
5H3V_A,30.48521608911441,103
