pdb,weight,seq_len
3D3U_A,50.31,439
2R8B_A,83.23460818673924,251
3GOE_A,24.515470625708986,82
3C6C_A,38.34282853416007,316
1DOI_A,36.45191901669924,128
4ZL8_A,60.39260467971224,192
4JIU_A,31.20108171201762,105
2YZT_A,18.928285712129348,67
1NE2_A,102.14067162497024,200
2PNQ_A,151.45709887621643,467
1EDG_A,120.1665510863984,380
2XEU_A,22.47302382858168,64
3I7U_A,175.3277411021998,134
3FZ0_A,203.48540930494255,360
3DO9_A,39.60202015049233,188
3E8T_A,44.21409729939083,220
4AWT_A,59.42566112379399,365
2C1X_A,82.80192268299088,456
3ERP_A,179.6457013123331,353
3X0I_A,45.66927303997733,170
3GVX_A,171.04525921521474,290
2YWI_A,121.77,196
2PCS_A,47.31572254547108,162
2HQY_A,106.091792330981,305
1YDY_A,178.45129307460903,356
2W8M_A,6.66,212
2GUP_A,55.60067805341945,292
3G0K_A,36.236865206582095,148
3I5T_A,302.54013551923987,476
1EEJ_A,105.11013652355322,216
3F44_A,37.79073960641681,220
3CBG_A,77.99405105519267,232
1WN2_A,16.093054402443308,121
2WM3_A,96.37061792891024,299
1MUW_A,137.07076858323953,386
1MP9_A,43.386859761914096,198
3KFU_E,855.1480135040952,471
1ZLP_A,100.18278794283977,318
2EIY_A,236.7947423402809,308
3ZZP_A,0.74,77
3ELF_A,43.9194717636722,349
2ESS_A,64.83043112613088,248
3LYX_A,51.87089742813402,124
1VE3_A,174.7197470236264,227
3RY0_A,38.31457164056516,65
3KLJ_A,102.54882934485406,385
3LF2_A,444.4697722005401,265
3SIG_A,29.981327522309616,277
1YSP_A,50.14754231265975,181
6ENS_A,33.24857139788114,193
4P82_A,51.48125872587033,183
1LO7_A,46.93655291987259,141
2Z8X_A,22.21019585685817,617
2JEP_A,240.45529730076652,395
3FKQ_A,80.82170005635862,373
2R7K_A,115.340466446083,361
3EK3_A,39.14741370767678,190
5IWH_A,27.280980554224953,117
2QXY_A,64.04080261833076,142
1XGK_A,96.81442867672152,352
2I9W_A,23.466861741613428,184
1B5P_A,223.1350909202764,385
1Y9U_A,45.719090104681655,323
2HUN_A,220.52507612514273,336
2WLR_A,70.79524136550421,423
2AU7_A,18.929144196185945,175
2FR5_A,140.29611541307906,146
2CVB_A,60.23163620556891,188
2RA5_A,40.98415303504514,247
3H35_A,45.08053903848089,185
2V7S_A,13.043116958764111,215
3FIU_A,280.1533979804636,249
2ZYQ_A,91.13724156457666,300
2A14_A,79.25439987786167,263
4CD5_A,52.54640330222421,419
1K2E_A,84.64041587799531,156
2F4W_A,70.37624172972012,187
1X3S_A,54.108686918091074,195
1RM6_A,479.80256502023826,769
2H8G_A,131.66328265693517,267
1TH8_A,88.92,145
3KU7_A,11.163189508379762,80
1JQG_A,84.71336907478064,433
1UWK_A,36.715036429234274,557
1GZ2_A,37.59075418237841,142
1C4X_A,78.22708929776181,285
2AR1_A,22.091858228768352,172
3IWP_A,397.3537406392445,287
2IEL_A,79.28108034077235,138
1NH8_A,78.9379300463345,304
2ABQ_A,154.10879793185077,306
